sid,isb,search,title,dizhi,lng,lat,name,district,fLng,fLat,followerCount,_id,fAddress
ELQMRS0L3F,连波路66弄小区,连波路66弄小区,[浦东] 连波路66弄小区,连波路66弄,121.55203,31.194544,连波路66弄,浦东,121.5587223,31.20086294,60,601915697e3a052fd496cc6c,连波路66弄
,,,,,,,莲中路169弄,浦东,121.5646546,31.18915107,61,6019156b7e3a052fd496cc72,莲中路169弄
,,,,,,,芳草路238弄,浦东,121.5625016,31.19955522,69,6019156c7e3a052fd496cc75,芳草路238弄
PGXRXFJTV1,花木公寓,花木公寓,[浦东] 花木公寓,高科西路2970弄,121.56071,31.189067,花木公寓,浦东,121.5670013,31.19563375,81,6019156c7e3a052fd496cc77,高科西路2970弄
,,,,,,,莲溪大楼,浦东,121.567819,31.1903425,84,6019156d7e3a052fd496cc79,北中路408弄
,,,,,,,莲安西路35弄,浦东,121.5615931,31.1873089,83,6019156d7e3a052fd496cc7b,莲安西路35弄
VXUY06KL2R,莲馨苑,莲馨苑,[浦东] 莲馨苑,莲园路630弄,121.561596,31.185649,莲馨苑,浦东,121.568006,31.192567,89,6019156f7e3a052fd496cc7e,莲园路630弄
,,,,,,,虹南小区(浦东),浦东,121.561318,31.190253,87,601915707e3a052fd496cc80,"沪南路1391弄, 沪南路911号, 沪南公路1361弄, 沪南路1351弄"
,,,,,,,莲园路488-518号,浦东,121.564981,31.192014,91,601915707e3a052fd496cc82,"莲园路518号, 莲园路488号, 莲园路498号, 莲园路508号"
,,,,,,,东莲大厦,浦东,121.5623004,31.18744517,92,601915717e3a052fd496cc84,沪南公路1101号
36KT5BI1G6,绿苑别墅,绿苑别墅,[浦东] 绿苑别墅,博华路969号,121.549218,31.172937,绿苑别墅,浦东,121.555666,31.17944,108,601915737e3a052fd496cc89,博华路971弄
,,,,,,,德祥苑,浦东,121.560763,31.181026,114,601915747e3a052fd496cc8f,鹏飞路28弄
RZJQ5JBWE1,莲中路250弄,莲中路250弄,[浦东] 莲中路250弄,莲中路250弄,121.557863,31.181344,莲中路250弄,浦东,121.5647478,31.18787205,101,601915757e3a052fd496cc91,莲中路250弄
JQRONC7CH5,芳草路253弄,芳草路253弄,[浦东] 芳草路253弄,芳草路253弄,121.556097,31.193789,芳草路253弄,浦东,121.5623189,31.19969846,104,601915757e3a052fd496cc93,芳草路253弄
,,,,,,,宝华海尚郡领(别墅),浦东,121.5561029,31.18620841,112,601915767e3a052fd496cc96,成山路2388号
QP4KZQUXWR,新陈路428弄,新陈路428弄,[浦东] 新陈路428弄,新陈路428弄,121.565507,31.179704,新陈路428弄,浦东,121.5716352,31.1864296,114,601915797e3a052fd496cc99,新陈路428弄
YATUVTFM6A,南新公寓,南新公寓,[浦东] 南新公寓,下南路518弄,121.539229,31.172256,南新公寓,浦东,121.545669,31.178378,127,601915797e3a052fd496cc9b,"下南路500弄, 下南路518弄, 下南路526弄"
BOHWERKLP9,南新苑,南新苑,[浦东] 南新苑,下南路465弄,121.541379,31.171899,南新苑,浦东,121.5470026,31.17837873,117,601915797e3a052fd496cc9d,下南路465弄
